ticker,entry_time,exit_time,invested_eur,ret_pct,proceeds_eur,pnl_eur
MGLD,2024-12-23 11:43:16,2024-12-24 16:00:00,2500.0,-7.8212,2304.4700000000003,-195.52999999999975
IOBT,2024-12-24 09:45:00,2024-12-25 16:00:00,2500.0,4.4328,2610.8199999999997,110.81999999999971
GREE,2024-12-24 09:45:00,2024-12-25 16:00:00,2500.0,-1.7045,2457.3875000000003,-42.61249999999973
TZUP,2024-12-26 15:01:57,2024-12-27 16:00:00,2468.169375,5.2795,2598.4763771531248,130.3070021531248
QNRX,2024-12-30 09:45:00,2024-12-31 16:00:00,2500.7461255382814,5.1212,2628.814336119348,128.06821058106652
SPGC,2024-12-31 09:45:00,2025-01-01 16:00:00,2500.7461255382814,1.0687,2527.4715993819086,26.725473843627242
DTIL,2024-12-31 09:45:00,2025-01-01 16:00:00,2500.7461255382814,6.5909,2665.567801926384,164.8216763881028
QIPT,2024-12-31 09:45:00,2025-01-01 16:00:00,2500.7461255382814,1.0453,2526.886424788533,26.1402992502517
PRLD,2025-01-03 09:45:00,2025-01-06 16:00:00,2587.1850405540436,-4.3165,2475.5091982785284,-111.67584227551515
BSPK,2025-01-06 09:45:00,2025-01-07 16:00:00,2587.1850405540436,0.8858,2610.1023256432713,22.91728508922779
LBSR,2025-01-13 14:18:19,2025-01-14 16:00:00,2564.9954012574717,-3.6364,2471.721908486145,-93.2734927713268
IBIO,2025-01-14 09:45:00,2025-01-15 16:00:00,2564.9954012574717,11.7647,2866.7594152292095,301.76401397173777
GRYP,2025-01-16 09:45:00,2025-01-17 16:00:00,2617.1180315575743,4.8686,2744.5350400419866,127.41700848441224
MKZR,2025-01-21 11:52:53,2025-01-22 16:00:00,2648.9722836786773,-13.0952,2302.0840651863873,-346.88821849229
MYCB,2025-01-23 09:45:00,2025-01-24 16:00:00,2562.250229055605,25.626099999999997,3218.855035003623,656.6048059480181
AEI,2025-01-24 09:45:00,2025-01-27 16:00:00,2562.250229055605,11.1502,2847.946254095763,285.696025040158
SSII,2025-01-24 09:45:00,2025-01-27 16:00:00,2562.250229055605,17.2414,3004.018040047998,441.76781099239315
ETST,2025-01-27 09:45:00,2025-01-28 16:00:00,2726.4014305426094,-2.2727,2664.4385052306675,-61.962925311941945
ETST,2025-01-28 13:18:19,2025-01-29 16:00:00,181.8659590081379,9.4527,199.05720251530016,17.191243507162255
AEI,2025-01-29 09:45:00,2025-01-30 16:00:00,2892.7766582227614,0.8394,2917.0586254918835,24.281967269122106
