"ticker","entry_time","exit_time","invested_eur","ret_pct","proceeds_eur","pnl_eur","market_category","market","primary_exchange","active","market_meta_found"
"MGLD","2024-12-23 11:43:16","2024-12-24 16:00:00","2500","-7.8212","2304.47","-195.53","AMEX","stocks","XASE","True","True"
"IOBT","2024-12-24 09:45:00","2024-12-25 16:00:00","2500","4.4328","2610.82","110.82","NASDAQ","stocks","XNAS","True","True"
"GREE","2024-12-24 09:45:00","2024-12-25 16:00:00","2500","-1.7045","2457.3875","-42.6125","NASDAQ","stocks","XNAS","True","True"
"TZUP","2024-12-26 15:01:57","2024-12-27 16:00:00","2468.169375","5.2795","2598.47637715","130.30700215","non tradable","","","","False"
"QNRX","2024-12-30 09:45:00","2024-12-31 16:00:00","2500.74612554","5.1212","2628.81433612","128.06821058","NASDAQ","stocks","XNAS","True","True"
"SPGC","2024-12-31 09:45:00","2025-01-01 16:00:00","2500.74612554","1.0687","2527.47159938","26.72547384","non tradable","","","","False"
"DTIL","2024-12-31 09:45:00","2025-01-01 16:00:00","2500.74612554","6.5909","2665.56780193","164.82167639","NASDAQ","stocks","XNAS","True","True"
"QIPT","2024-12-31 09:45:00","2025-01-01 16:00:00","2500.74612554","1.0453","2526.88642479","26.14029925","NASDAQ","stocks","XNAS","True","True"
"PRLD","2025-01-03 09:45:00","2025-01-06 16:00:00","2587.18504055","-4.3165","2475.50919828","-111.67584228","NASDAQ","stocks","XNAS","True","True"
"BSPK","2025-01-06 09:45:00","2025-01-07 16:00:00","2587.18504055","0.8858","2610.10232564","22.91728509","OTC","otc","OTC Link","True","True"
"LBSR","2025-01-13 14:18:19","2025-01-14 16:00:00","2564.99540126","-3.6364","2471.72190849","-93.27349277","OTC","otc","OTC Link","True","True"
"IBIO","2025-01-14 09:45:00","2025-01-15 16:00:00","2564.99540126","11.7647","2866.75941523","301.76401397","NASDAQ","stocks","XNAS","True","True"
"GRYP","2025-01-16 09:45:00","2025-01-17 16:00:00","2617.11803156","4.8686","2744.53504004","127.41700848","non tradable","","","","False"
"MKZR","2025-01-21 11:52:53","2025-01-22 16:00:00","2648.97228368","-13.0952","2302.08406519","-346.88821849","NASDAQ","stocks","XNAS","True","True"
"MYCB","2025-01-23 09:45:00","2025-01-24 16:00:00","2562.25022906","25.6261","3218.855035","656.60480595","OTC","otc","OTC Link","True","True"
"AEI","2025-01-24 09:45:00","2025-01-27 16:00:00","2562.25022906","11.1502","2847.9462541","285.69602504","NASDAQ","stocks","XNAS","True","True"
"SSII","2025-01-24 09:45:00","2025-01-27 16:00:00","2562.25022906","17.2414","3004.01804005","441.76781099","NASDAQ","stocks","XNAS","True","True"
"ETST","2025-01-27 09:45:00","2025-01-28 16:00:00","2726.40143054","-2.2727","2664.43850523","-61.96292531","OTC","otc","OTC Link","True","True"
"ETST","2025-01-28 13:18:19","2025-01-29 16:00:00","181.86595901","9.4527","199.05720252","17.19124351","OTC","otc","OTC Link","True","True"
"AEI","2025-01-29 09:45:00","2025-01-30 16:00:00","2892.77665822","0.8394","2917.05862549","24.28196727","NASDAQ","stocks","XNAS","True","True"
"OVID","2025-01-29 09:45:00","2025-01-30 16:00:00","2892.77665822","-7.2224","2683.84875686","-208.92790136","NASDAQ","stocks","XNAS","True","True"
"PCSA","2025-01-30 09:45:00","2025-01-31 16:00:00","2897.0744691","-10.9589","2579.58697511","-317.48749399","NASDAQ","stocks","XNAS","True","True"
"FFIE","2025-01-31 09:45:00","2025-02-03 16:00:00","2850.91298558","5.2799","3001.4383403","150.52535473","non tradable","","","","False"
"CRBU","2025-01-31 09:45:00","2025-02-03 16:00:00","2850.91298558","0","2850.91298558","0","NASDAQ","stocks","XNAS","True","True"
"COSM","2025-01-31 10:01:55","2025-02-03 16:00:00","2804.75150205","7.3486","3010.86147093","206.10996888","NASDAQ","stocks","XNAS","True","True"
"OTLC","2025-02-03 09:45:00","2025-02-04 16:00:00","2579.58697511","-0.3322","2571.01758717","-8.56938793","OTC","otc","OTC Link","True","True"
"GIFT","2025-02-04 09:45:00","2025-02-05 16:00:00","2860.69994298","7.8537","3085.3707344","224.67079142","NASDAQ","stocks","XNAS","True","True"
"CGTX","2025-02-05 09:45:00","2025-02-06 16:00:00","2858.557596","-2.4543","2788.40001692","-70.15757908","NASDAQ","stocks","XNAS","True","True"
"ZNTL","2025-02-05 09:45:00","2025-02-06 16:00:00","2858.557596","16.129","3319.61435065","461.05675466","NASDAQ","stocks","XNAS","True","True"
"CTTH","2025-02-06 09:45:00","2025-02-07 16:00:00","2914.72529385","-5.1852","2763.59095791","-151.13433594","OTC","otc","OTC Link","True","True"
"RKDA","2025-02-06 09:45:00","2025-02-07 16:00:00","2914.72529385","1.0633","2945.7175679","30.99227405","NASDAQ","stocks","XNAS","True","True"
"ATXG","2025-02-10 09:45:00","2025-02-11 16:00:00","2982.41457227","-4.386","2851.60586913","-130.80870314","NASDAQ","stocks","XNAS","True","True"
"TECX","2025-02-10 09:45:00","2025-02-11 16:00:00","2982.41457227","-16.206275","2499.07626505","-483.33830722","NASDAQ","stocks","XNAS","True","True"
"CASK","2025-02-10 09:45:00","2025-02-11 16:00:00","2982.41457227","-3.252","2885.42645038","-96.98812189","non tradable","","","","False"
"SRTS","2025-02-10 15:35:55","2025-02-11 16:00:00","2982.41457227","-1.6584","2932.95420901","-49.46036327","NASDAQ","stocks","XNAS","True","True"
"HP","2025-02-12 09:45:00","2025-02-13 16:00:00","2792.26569839","2.2864","2856.10806132","63.84236293","NYSE","stocks","XNYS","True","True"
"MGLD","2025-02-13 09:45:00","2025-02-14 16:00:00","2792.26569839","10","3071.49226823","279.22656984","AMEX","stocks","XASE","True","True"
"USEG","2025-02-13 09:45:00","2025-02-14 16:00:00","2792.26569839","0.7444","2813.05132425","20.78562586","NASDAQ","stocks","XNAS","True","True"
"EAF","2025-02-14 09:45:00","2025-02-17 16:00:00","31.92118146","-16.206275","26.74794701","-5.17323445","NYSE","stocks","XNYS","True","True"
"ATXG","2025-02-14 09:45:00","2025-02-17 16:00:00","2808.22628913","-0.4651","2795.16522866","-13.06106047","NASDAQ","stocks","XNAS","True","True"
"CASK","2025-02-14 09:45:00","2025-02-17 16:00:00","2808.22628913","4.1059","2923.52925233","115.30296321","non tradable","","","","False"
"AEI","2025-02-18 09:45:00","2025-02-19 16:00:00","2907.49650512","0.2552","2914.9164362","7.41993108","NASDAQ","stocks","XNAS","True","True"
"FLNC","2025-02-18 09:45:00","2025-02-19 16:00:00","2907.49650512","-0.9973","2878.50004248","-28.99646265","NASDAQ","stocks","XNAS","True","True"
"CMCO","2025-02-19 09:45:00","2025-02-20 16:00:00","2907.49650512","-3.2289","2813.61635047","-93.88015465","NASDAQ","stocks","XNAS","True","True"
"MGLD","2025-02-19 09:45:00","2025-02-20 16:00:00","2907.49650512","-7.7235","2682.93601255","-224.56049257","AMEX","stocks","XASE","True","True"
"SNRG","2025-02-20 09:45:00","2025-02-21 16:00:00","2902.10237223","3.5842","3006.11952546","104.01715323","OTC","otc","OTC Link","True","True"
"SEPN","2025-02-24 09:45:00","2025-02-25 16:00:00","2848.49649873","-11.8211","2511.77287912","-336.72361961","NASDAQ","stocks","XNAS","True","True"
"LPTH","2025-02-24 09:45:00","2025-02-25 16:00:00","2848.49649873","-1.2711","2812.28925974","-36.207239","NASDAQ","stocks","XNAS","True","True"
"USEG","2025-02-24 09:45:00","2025-02-25 16:00:00","2848.49649873","-14.6465","2431.29145904","-417.20503969","NASDAQ","stocks","XNAS","True","True"
"ETST","2025-02-25 09:45:00","2025-02-26 16:00:00","2848.49649873","12.5","3204.55856107","356.06206234","OTC","otc","OTC Link","True","True"
"VMEO","2025-02-25 09:45:00","2025-02-26 16:00:00","0","0.6981","0","0","non tradable","","","","False"
"USEG","2025-02-26 09:45:00","2025-02-27 16:00:00","2650.96252416","-5.9211","2493.99638214","-156.96614202","NASDAQ","stocks","XNAS","True","True"
"SVV","2025-02-26 09:45:00","2025-02-27 16:00:00","2650.96252416","1.12","2680.65330443","29.69078027","NYSE","stocks","XNYS","True","True"
"WWW","2025-02-26 09:45:00","2025-02-27 16:00:00","2453.42854958","-9.4421","2221.7733725","-231.65517708","NYSE","stocks","XNYS","True","True"
"CLNE","2025-02-27 09:45:00","2025-02-28 16:00:00","464.58052133","-0.4878","462.31429755","-2.26622378","NASDAQ","stocks","XNAS","True","True"
"AXTI","2025-02-27 09:45:00","2025-02-28 16:00:00","2739.97803974","8.8435","2982.28799769","242.30995794","NASDAQ","stocks","XNAS","True","True"
